type,nr,localized_name,api_name,unoconv,extensions,flags
drawing,44,StarDraw 5.0,StarDraw 5.0,sxd5,sxd,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER PREFERED
drawing,45,XHTML,XHTML Draw File,xhtml,xhtml,EXPORT ALIEN 3RDPARTYFILTER
drawing,46,TGA - Truevision Targa,TGA - Truevision TARGA,,,IMPORT ALIEN
drawing,47,GIF - Graphics Interchange Format,GIF - Graphics Interchange,,,IMPORT ALIEN
drawing,48,EPS - Encapsulated PostScript,draw_eps_Export,eps,eps,EXPORT ALIEN SUPPORTSSELECTION
drawing,49,PGM - Portable Graymap,PGM - Portable Graymap,,,IMPORT ALIEN
drawing,50,SVG - Scalable Vector Graphics,draw_svg_Export,svg,svg,EXPORT ALIEN 3RDPARTYFILTER
drawing,51,MET - OS/2 Metafile,MET - OS/2 Metafile,,,IMPORT ALIEN
drawing,52,PNG - Portable Network Graphic,PNG - Portable Network Graphic,,,IMPORT ALIEN
drawing,53,OpenOffice.org 1.0 Drawing Template,draw_StarOffice_XML_Draw_Template,std,std,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN
drawing,54,PBM - Portable Bitmap,PBM - Portable Bitmap,,,IMPORT ALIEN
drawing,55,SVM - StarView Metafile,draw_svm_Export,svm,svm,EXPORT ALIEN SUPPORTSSELECTION
presentation,1,StarDraw 3.0 Template (OpenOffice.org Impress),StarDraw 3.0 Vorlage (StarImpress),vor3,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN NOTINFILEDIALOG NOTINCHOOSER 3RDPARTYFILTER
presentation,2,StarDraw 5.0 Template (OpenOffice.org Impress),StarDraw 5.0 Vorlage (StarImpress),vor5,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN NOTINFILEDIALOG NOTINCHOOSER 3RDPARTYFILTER
presentation,3,Microsoft PowerPoint 97/2000/XP Template,MS PowerPoint 97 Vorlage,pot,pot,IMPORT EXPORT TEMPLATE TEMPLATEPATH ALIEN
presentation,4,Unified Office Format presentation,UOF presentation,uop,uop,IMPORT EXPORT ALIEN 3RDPARTYFILTER
presentation,5,OpenOffice.org 1.0 Presentation Template,impress_StarOffice_XML_Impress_Template,sti,sti,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN
presentation,6,StarImpress 5.0,StarImpress 5.0,sdd,sdd,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER PREFERED
presentation,7,StarImpress 5.0 Packed,StarImpress 5.0 (packed),,,IMPORT ALIEN 3RDPARTYFILTER PACKED
presentation,8,StarDraw 5.0 (OpenOffice.org Impress),StarDraw 5.0 (StarImpress),sda,sda,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
presentation,9,ODF Presentation,impress8,odp,odp,IMPORT EXPORT TEMPLATE OWN DEFAULT PREFERED
presentation,10,XPM - X PixMap,impress_xpm_Export,xpm,xpm,EXPORT ALIEN SUPPORTSSELECTION
presentation,11,WMF - Windows Metafile,impress_wmf_Export,wmf,wmf,EXPORT ALIEN SUPPORTSSELECTION
presentation,12,TIFF - Tagged Image File Format,impress_tif_Export,tiff,tiff,EXPORT ALIEN SUPPORTSSELECTION
presentation,13,SVM - StarView Metafile,impress_svm_Export,svm,svm,EXPORT ALIEN SUPPORTSSELECTION
presentation,14,SVG - Scalable Vector Graphics,impress_svg_Export,svg,svg,EXPORT ALIEN 3RDPARTYFILTER
presentation,15,BMP - Windows Bitmap,impress_bmp_Export,bmp,bmp,EXPORT ALIEN SUPPORTSSELECTION
presentation,16,EMF - Enhanced Metafile,impress_emf_Export,emf,emf,EXPORT ALIEN SUPPORTSSELECTION
presentation,17,EPS - Encapsulated PostScript,impress_eps_Export,eps,eps,EXPORT ALIEN SUPPORTSSELECTION
presentation,18,GIF - Graphics Interchange Format,impress_gif_Export,gif,gif,EXPORT ALIEN SUPPORTSSELECTION
presentation,19,JPEG - Joint Photographic Experts Group,impress_jpg_Export,jpg,jpg,EXPORT ALIEN SUPPORTSSELECTION
